review_text,review_date,rating,language_style,has_slang,slang_count
It is not a good product . You can buy better jacket in your surroundings,1-Dec-25,5,english,0,0
akdam ramro lagyo  ,27-Mar-25,3,romanized_nepali,1,1
good product ,21-Jun-25,2,english,0,0
"nice, tara powerbank charge huncha time chai lagcha ekdamai. yo powerbank lai chai kati watt ko charger le charge garnu parcha? any type c le milcha ki esmai aune le garnuparcha? ",14-Nov-24,5,code_mixed,0,0
thait kabadi product. aajai saman receive garerw charge gareko 1 hr samma 88% dekhi charge nei badeina tw. ty mathi port ni 2ta USB xa xyaa.. Ultima le kahile dekhi yesto ghatiya product nikalnu thalyo ,16-Jul-25,1,romanized_nepali,2,2
plz first of all check your product nicely and only delivered. my power bank right side has not working properly it charge only 5-6 sec and it discharge 1-2 sec and again charge . this process goes on. plz help me what to do ,20-Dec-25,3,english,0,0
xya yar Kati sano na kina hai na kina 🙂 ,26-Sep-25,5,romanized_nepali,1,1
"dhere fast delivery bhayo AJ Sam KO fast 
aru herda ramro X ab use gare si thah hunx ",13-Oct-25,3,code_mixed,0,0
Ramro xa ,8-Nov-25,2,romanized_nepali,0,0
Not much hydrate and thorai whitening dher basne  ,26-Dec-25,3,code_mixed,0,0
price anusar best ,12-Jun-25,5,code_mixed,0,0
"nice products 
  I love this product 👍🏽 ",13-May-25,5,english,0,0
worth it ,14-Oct-25,2,english,0,0
its very nice ,4-Aug-25,5,english,0,0
good quality.. ,25-Aug-25,5,english,0,0
The brushes are definitely smaller than expected tara are soft and in nice condition ,16-Aug-25,2,code_mixed,0,0
Xi basnai namitho 🥹🥹💸money waist xi  ,24-Nov-25,5,code_mixed,1,1
"According to the price, I think it is a really good product. and also it supports fast charging along with six months of warranty. what else do you need?",21-Dec-25,5,english,1,1
The battery percentage displayed is displaced downward  ,11-Nov-24,4,english,0,0
Best product amazing 😍I just love the product 😍,8-Jan-26,3,english,0,0
OMG it's soooooo soft 😭 🤧 the best for beginners 😘🫶 ,7-May-25,2,english,1,1
"The packaging was worse ever I have seen for liquid items! as well as the taste was okay however its very soft in sour,  which was created dought ! as well as the mother quantity seems not much..
will make a review after finishing these two bottles whether I should go for re order or go with another brand. I have been using Apple Cider for a long time, and this is my one another brand after, juas,Baidanath.. ..etc",18-Sep-24,2,english,0,0
too good  ,12-Jan-26,2,english,0,0
There was a little damage in eye shadow cake . And aru kura is fine . Likes the product.👍,19-Sep-21,1,code_mixed,0,0
Received as shown on Daraz. and quite satisfied. ,4 weeks ago,1,english,0,0
dekhako jasari shed vako coat nanikalne raixa. used on my labrador & cocker spaniel. didn’t meet the expectation as per its shown or described. Review from a unsatisfied customer.,20-Jun-24,2,code_mixed,1,1
Good ramro xaa  dheri ramro vnaam bhari xa  ,25-Jul-25,5,code_mixed,0,0
nice it’s very heavyweight i like it❤️👍 ,17-Nov-24,5,english,0,0
khadai kam nalagne raixa sisa ko.hudo raixa ,4 weeks ago,2,romanized_nepali,0,0
Nice product👍 ,10-Jun-25,2,english,0,0
sooo good for pet just loved it  ,15-Feb-25,1,english,0,0
oaky its good one ani cool ni xa,10-Jan-26,5,code_mixed,1,1
Smells so gooddd ,22-Dec-25,5,english,0,0
Quality zero  ,18-Jul-25,1,english,0,0
Very nice shoes for school wear and casual also. ,30-Sep-25,5,english,0,0
"Liked the shoes, comfortable for kids ",28-Apr-24,4,english,0,0
Received in time good quality,17-Nov-25,5,english,0,0
not good this item,2-Aug-23,1,english,0,0
It's super duper cute and it works perfectly. ,1-Aug-25,5,english,0,0
good product.  I have been buying it regularly. this is my 5th order. don't ask me to review everytime. it is ridiculous to rate you everytime.,2-Sep-24,1,english,1,1
It was so hard for me to eat it. Just had a small bite and freaked out. Hottest chip..🔥 ,4-Feb-25,5,english,0,0
Cute ani small man paryo malai  ,18-Oct-25,5,code_mixed,0,0
Iphone ma  charge hudain but android ma chahi hunchha.data cable le iphone ma support gardain. ,2-Feb-26,3,code_mixed,0,0
good dami  xa . hai la lala lala ramro xa   ,10-Oct-25,5,code_mixed,1,1
Very nice product delivery in time ,1 week ago,3,english,0,0
So good product  ,21-Jul-25,3,english,0,0
"Great power bank! Compact, fast charging, and very reliable🤍 ",22-Aug-25,5,english,0,0
I like it ☺️☺️,24-Sep-24,5,english,0,0
ramro xa fast charging pani support garxa ra thik thak nai xa weight over all ramro lago price aanusar 20k mah ko powerbank ,9-Dec-25,3,code_mixed,0,0
k ho yesto 20000mah bhanera 10000 ko product po aayo ta k ho para yesto? returns garnu parne ho? ,2-Aug-25,5,romanized_nepali,1,1
Dami ,25-Jul-25,5,romanized_nepali,1,1
very nice ,23-Sep-25,5,english,0,0
very nice  ani amaizing quality babal,7-Dec-25,1,code_mixed,1,1
build quality is good ,12-Oct-25,4,english,0,0
I bought powerbank  for the  first time and got a quality product at a good price.Thank you team ,13-Oct-25,4,english,0,0
Good looking  quality is ok as per price,2 weeks ago,5,english,0,0
not satisfied.too small brushes . need to think which brush is suitable first what kind of makeup . its portable but not as expected.low quality brushes,14-Oct-25,2,english,0,0
Very useful tool ,21-Jul-25,1,english,0,0
saman auna kina let vo ... ,28-Dec-25,5,code_mixed,0,0
"ramro cha yo product, expectation meet garyo.Thank you! ",22-Jul-25,1,code_mixed,0,0
"Useful product, nice packaging. Loved it",2 weeks ago,5,english,0,0
Rs2009 payment gare maile bill ma Rs1809  xa malaita thageyo daraz le 😥😥😥 ,15-Nov-24,5,romanized_nepali,0,0
good quality product but could be much better like more tight fitting so that while cleaning inside ear the front handle doesn't move else loved the product Thanks  ,29-Mar-25,5,english,1,1
I got the pink one so cuteeee 🎀 and it works as expected,3-Sep-25,1,english,1,1
light nai ramrari balena.. tei light KO laagi purchase gareko 😔😔 ,21-Jun-25,2,romanized_nepali,0,0
Product not as advertized. ,13-Jul-25,2,english,0,0
brushes r too small n have double brush of same kind..  bt eye shadow palette it's awesome just loved it,24-Nov-22,5,english,0,0
Very nice product …………………………..::: ,26-May-25,2,english,0,0
nice and comfortable  ,8-Jul-25,1,english,0,0
overall good ,26-Jun-25,2,english,0,0
ramro chha ma sadhai use gariraxu weight loss journey ma,28-Dec-25,5,code_mixed,1,1
worth the price  . ,19-Aug-25,5,english,0,0
ramro xa   vaneko  jastai rahexa,29-Aug-25,3,romanized_nepali,0,0
Comfortable   xa rmao ni xa,30-Dec-24,5,code_mixed,0,0
nice at this price range. but it looks like cheap and gonna dismantle in near future. so you can buy if you want. its your choice. ,9-Aug-25,5,english,0,0
ultima power back is good but data is just a little bad,4 weeks ago,2,english,0,0
the quality is good for the price. i like it ,25-Apr-25,5,english,0,0
battery chai sakeko raixa ,10-Dec-25,2,romanized_nepali,0,0
love it its really soft i Just wish there was a brush to apply eyeshadow aswell but overall its pretty nice and affordable ,19-Jan-26,1,english,0,0
"Never ever buy this product useless, sab bhuwa aauxa !!! ⚠️
NEVER BUY ALERT!!",1-Feb-24,1,code_mixed,1,1
Its Very nice and works really nice. ,27-Jan-26,5,english,0,0
Yo thik xa ,24-Nov-24,1,romanized_nepali,0,0
Nice as expected.  Thikai xa,3 weeks ago,3,code_mixed,0,0
"Excellent packaging, seems and feels premium, delivery was also fast now lets see how it performs 🫡 ",14-Oct-25,5,english,0,0
It works out exactly same ,15-Aug-25,3,english,0,0
the item was as expected very good quality and on time service  ,20-Sep-25,5,english,0,0
The product looks nice and the delivery was really fast . let's see how it performs. ,9-Jul-25,4,english,0,0
Nice shoes for kids ,4-Feb-26,2,english,0,0
good 👍 product in low price ,14-Jan-25,3,english,0,0
Good,19-Apr-23,1,english,0,0
good ,10-Nov-25,3,english,0,0
thik xa aba use gare paxi tha hunxa 2/4din paxi ,2 weeks ago,5,code_mixed,0,0
as always product and packaging is good. thanks to seller.,2-Aug-22,2,english,0,0
I am incredibly satisfied with this dog comb! It’s extremely easy to use and removes loose fur effortlessly. Grooming my dog has never been this simple and stress free. ,28-Apr-25,1,english,1,1
"Perfect and exactly as expected!
These shoes are just like the photos. The quality feels solid, the fit is great, and the material is very easy to clean. Perfect for anyone needing a sturdy, sharp-looking pair of white sneakers for school or work. Great value for the money!",20-Dec-25,5,english,0,0
"Looks good. Have not used yet, though. Should be good.  ",26-Jan-26,4,english,1,1
perfect 👍 ,12-Oct-25,5,english,0,0
Really good quality and super powerful.   ,9-Dec-25,1,english,0,0
very nice product love you  ,1-Feb-26,1,english,0,0
good but light is not working as the cell is dead ,28-Jul-25,1,english,0,0
ramro xa good excellent,5 hours ago,3,code_mixed,0,0
Was not expecting this to be this good. 10/10 no drama. ,23-Sep-25,1,english,0,0
tesro choti ko order ho mero ekdam ramro xa  ,7-Feb-25,3,romanized_nepali,1,1
👍🏻👍🏻👍🏻 Good ,18-Aug-25,2,english,0,0
good item..  ,29-Aug-24,2,english,0,0
Looks ok . ramro quality need to wait for few months  ,4-Mar-24,3,code_mixed,0,0
kineko the asti ko bhanda man parena tyai lkura ho ,2 weeks ago,1,romanized_nepali,0,0
"Nice,lets see how it works... ",16-Jul-25,5,english,0,0
Powerbank dami xa sab le leya hunxa price anusar kati tikcha tyotachina Tara resently  use garda ta babal xa.  ,4 weeks ago,5,code_mixed,0,0
1600 ma 20000mAh paiyo k review dinu 🥱 jati din chalxa chalxa,19-Oct-25,1,romanized_nepali,0,0
I thought it was like my old towser which I ordered from Dara’s but it was kinda different but still it’s fine,1 week ago,2,english,0,0
worth buying👌🏻 ,22-Feb-25,5,english,0,0
black color ko kina haldinu vako,26-Dec-24,5,code_mixed,0,0
thikx xa aru saman haru bhanda yo wla,27-Oct-25,5,romanized_nepali,1,1
it's good ,21-Jul-25,5,english,0,0
"Everything is great , it's working but I feel like it has capacity less than what it's been labeled!! ",30-Dec-24,5,english,0,0
"The product got delivered quicker than expected 
The power bank feels heavy so I think it is good and the quality is good too
It includes a Ultima sticker too ",11-Jul-25,3,english,0,0
Very nice product.,20-Nov-25,5,english,0,0
"The ear wax cleaner is well received. It is nice and works as per the purpose. The well lit inside ear makes it secure to clean ear wax at any time makes the operation convenient. 
The delivery staff was gentle.
Recommendable product and service!
Baccha ra thulo both ko lagi hunxa yo. Light lay garda use garna easy xa.,17 Jan 2026,5
Nice product with prompt delivery. My daughter likes it. Thank you,08 Jul 2025,5
Baccha ra thulo both ko lagi hunxa yo. Light lay garda use garna easy xa. ,17 Jan 2026,5
IT's a very useful tool one which can be order by Little ones mumma ,15 Nov 2025,4
I'm not sure if batteries can be replaced though  ",4-Jun-25,1,english,0,0
"I have got this product, and I look great with manuals and the proper packing, which is  safe. Hope it works well. Thanks, #ultimalifestyle. ",16-Aug-25,4,english,0,0
cute ,2 weeks ago,2,english,0,0
nicexa ,8-Mar-25,1,english,0,0
good and cool and good for pairing,9-Jan-26,4,english,0,0
good 👍 price anusar yakdam ramro xa❤️‍🩹 ,24-Jan-25,5,romanized_nepali,1,1
Size and quality are perfect for toddlers  ,17-May-25,5,english,0,0
nice one I like the product with this price range  ,8-Jul-25,3,english,0,0
Socheko vanda ramro paya saman,9-May-25,1,romanized_nepali,0,0
Good one ,3 weeks ago,4,english,0,0
Enough for single person  ,1-Dec-24,5,english,0,0
Nice product with prompt delivery. My daughter likes it. Thank you,8-Jul-25,1,english,0,0
really good product and delivery on time thanks 👍...... ,6-Jan-26,5,english,0,0
"My favorite 
Quinoa and bishwas ",2-Jan-26,1,english,0,0
"delivered within 2 days also its pretty good comes with a ultima sticker,6 month warranty and a charging cable🫶 ",15-Oct-25,5,english,0,0
It wasn't as spicy as I thought. And it wasn't worth the money I paid for it. 👍  ,21-Feb-25,3,english,0,0
"Jacket zipper is low quality.
#review_wrapup",14-Dec-23,3,english,0,0
best found till date ,22-Jul-25,1,english,0,0
It doesn’t charge past 86% even after hours of charging  ,1-Sep-25,5,english,0,0
hamile saman return gareko kati din vitra affno account ma paisa aaucha... ,28-Nov-25,5,code_mixed,0,0
ramro x malai t man paryo ,11-Jun-25,1,romanized_nepali,0,0
it's recall nice love it 😁😍 ,21-Mar-25,3,english,0,0
It works great. Thank you for fast delivery. ,4 hours ago,1,english,0,0
packaging dekhe delivery everything is good charge ni bhayeracha aba kei months use garira i will keep further updates about product. ,19-Dec-24,5,code_mixed,0,0
perfect ,8-Jan-26,5,english,0,0
This product is amazing ,10-Oct-25,1,english,0,0
