review_text,date,rating,language_style,has_slang,slang_count,label,word_count,length_type,char_count,avg_word_len,exclamation_count,question_count,uppercase_ratio,unique_word_ratio,language_enc,length_enc
Thamel ma quick lunch ma gaye. The noodles were hot and the soup was flavorful. The place was busy but service was fast. I enjoyed the meal and left satisfied.,2024-07-30,4,romanized_nepali,0.0,0.0,1,30,medium,159,5.3,0,0,0.025157232704402517,0.8,2,1
1st ma chai ramro lagyo paxi Feri same hair-fall vayo Mero case ma chái,24-Jan-25,1,romanized_nepali,0.0,0.0,0,14,short,71,5.071428571428571,0,0,0.028169014084507043,0.9285714285714286,2,2
Dherai ramro thyo! HIMALAYAN-HUB ma gayera HIMALAYAN-HUB ko khana khada HIMALAYAN-HUB ko environment ekdamai peace lagyo!!! Best experience ever in Kathmandu with my whole family members for dinner time.,2026-01-15,5,code_mixed,0.0,0.0,1,29,medium,203,7.0,4,0,0.1921182266009852,0.896551724137931,0,1
"noodle soup ekdum hot thiyo, broth flavorful, vegetables fresh, perfect combo!!!",2023-07-08,5,code_mixed,0.0,0.0,1,11,short,80,7.2727272727272725,3,0,0.0,1.0,0,2
it's very nice although I've not used it but am excited to try it asap thank you daraz ❤️❤️,30 Nov 2025,5,english,0.0,0.0,0,19,short,91,4.7894736842105265,0,0,0.01098901098901099,0.9473684210526315,1,2
"yo bike ekdam babbal, smooth ride and best performance ever seen!!!",2025-01-09,5,romanized_nepali,1.0,2.0,1,11,short,67,6.090909090909091,3,0,0.0,1.0,2,2
paisa tiri sakesi saman ta ali ramro nafuteko pathaununi k patha ko yesto damage 😡😡😡😡😡,05 Nov 2023,1,code_mixed,0.0,0.0,0,15,short,86,5.733333333333333,0,0,0.0,1.0,0,2
picture ma dekhako jasto same xaina ani size pani ultopulto pathaidinxa maile medium bhane theaa large pathaidiyaxa . overall not bad.,22-Jan-26,3,code_mixed,0.0,0.0,0,21,short,134,6.380952380952381,0,0,0.0,1.0,0,2
sneakers order garako Nike xa ta,15-Nov-25,1,romanized_nepali,0.0,0.0,0,6,very_short,32,5.333333333333333,0,0,0.03125,1.0,2,3
"Mero pariwar sanga yo restaurant ma khana khane gayo, dami besari thik cha, hola pugyo, bhayo ramro.",2023-11-14,5,romanized_nepali,1.0,1.0,1,17,short,100,5.882352941176471,0,0,0.01,1.0,2,2
"Khana dherai mahango thiyo, I didn't like it, service pani very slow cha, waiter har time busy thiyo with phone.",2024-06-27,1,code_mixed,0.0,0.0,1,20,short,112,5.6,0,0,0.017857142857142856,1.0,0,2
its amazing I really loved it,8-Nov-20,5,english,0.0,0.0,0,6,very_short,29,4.833333333333333,0,0,0.034482758620689655,1.0,1,3
Aaja ko yatra dherai jhur thyo 🚌. The AC was not working and it was very hot inside the bus. TOTAL DISASTER and very uncomfortable for a long journey 😡‼️ 🔥.,2026-02-18,1,code_mixed,0.0,0.0,1,31,medium,156,5.032258064516129,0,0,0.10897435897435898,0.9032258064516129,0,1
ramro thyo..good...,5-Dec-21,5,romanized_nepali,0.0,0.0,0,2,very_short,19,9.5,0,0,0.0,1.0,2,3
packaging was good and there's a free gift too loved it fab smells good,27 Jul 2025,5,english,0.0,0.0,0,14,short,71,5.071428571428571,0,0,0.0,0.9285714285714286,1,2
"Yo repair shop dherai besari ramro cha, mero sabai saman sabai thik bhayo, gardai cha yehi sanchai garyo.",2024-06-08,1,romanized_nepali,0.0,0.0,1,18,short,105,5.833333333333333,0,0,0.009523809523809525,0.9444444444444444,2,2
"Babbal ride experience. Price sasto ani bike condition perfect, best choice in Kathmandu valley.",2025-02-06,5,code_mixed,1.0,2.0,1,14,short,96,6.857142857142857,0,0,0.03125,1.0,0,2
"Photo ma dekhako vanda ramrai raixa, 100% satisfied",19-Jul-25,5,romanized_nepali,0.0,0.0,0,8,very_short,51,6.375,0,0,0.0196078431372549,1.0,2,3
price anusar product😂,15-Apr-24,1,romanized_nepali,0.0,0.0,0,3,very_short,21,7.0,0,0,0.0,1.0,2,3
"Incredible service, life changing results, best investment ever made, cannot recommend enough!!!",2024-02-08,5,english,0.0,0.0,1,12,short,96,8.0,3,0,0.010416666666666666,1.0,1,2
I love this shoes.. socheko vanda dherai Babaal lagyo.. finishing daami raixa.. bt afno size vanda 1 size thulo lina parne raixa halka sano hoki jasto vayo.. overall ramro raixa.. I recommend to go for product without any hesitation.. ,14-Jun-25,5,code_mixed,1.0,1.0,0,39,medium,235,6.0256410256410255,0,0,0.01276595744680851,0.8974358974358975,0,1
I bought this at 1759 on 11:11 offer. Price anusar thikkai ho. Bela bela fast charging (Input/output) garda halka heat bhako bhetye otherwise product get the job done. ,12-Dec-24,1,code_mixed,0.0,0.0,0,28,short,168,6.0,0,0,0.023809523809523808,1.0,0,2
"Hola bank ko sevayein besari ramro cha, gardai cha, hami le sanchai rakhe cha, yo sewa dherai upyogi bhayo.",2023-05-10,5,romanized_nepali,0.0,0.0,1,19,short,107,5.631578947368421,0,0,0.009345794392523364,0.8947368421052632,2,2
"Dherai kharab service, I ordered momos but pani was stale, khatei paudina.",2022-04-23,1,code_mixed,0.0,0.0,1,12,short,74,6.166666666666667,0,0,0.02702702702702703,1.0,0,2
wayy smaller than i thought but its soft and easy to use ig  ,17-Aug-25,5,english,1.0,1.0,0,13,short,61,4.6923076923076925,0,0,0.0,1.0,1,2
not as expected,15 Dec 2022,3,english,0.0,0.0,0,3,very_short,15,5.0,0,0,0.0,1.0,1,3
"herda ta ramrai X. palette brush is worse.
dhanna combo bhayera Matra thik bhayo and it doesn't have exp.date and m.f.d",23-Oct-21,4,code_mixed,0.0,0.0,0,21,short,119,5.666666666666667,0,0,0.01680672268907563,0.9523809523809523,0,2
"motorcyle engin problem after 1 weak, servce center usless, warrenty not working!!!",2022-11-09,1,english,0.0,0.0,1,12,short,83,6.916666666666667,3,0,0.0,1.0,1,2
"food ekdum dami cha ani service pani world class, highly highly recommended to sabai jana!!!",2023-11-08,5,code_mixed,1.0,1.0,1,15,short,92,6.133333333333334,3,0,0.0,0.9333333333333333,0,2
In Pokhara I recently tried a lakeside cafe. The coffee was overpriced and the service was slow. The view could not save the experience. I left without finishing my drink.,2025-03-05,2,english,0.0,0.0,1,30,medium,171,5.7,0,0,0.03508771929824561,0.8666666666666667,1,1
good packaging and fast delivery.,26 Apr 2025,5,english,0.0,0.0,0,5,very_short,33,6.6,0,0,0.0,1.0,1,3
Thank you ❤️ Ramro product xa☺️,6-Jan-23,5,code_mixed,0.0,0.0,0,6,very_short,31,5.166666666666667,0,0,0.06451612903225806,1.0,0,3
