review_text,rating,date,language_style,has_slang,slang_count,domain
"Kwati soup traditional restaurant — 9 types beans, freshly sprouted texture. Broth dark and nutritious. Beaten rice slightly stale but kwati was highlight. Rs 320 reasonable. Finding this dish on menu felt special.",4,10/15/2023,english,0,0,food
Fuel gauge inaccurate wrong reading,2,12/19/2023,english,0,0,transportation
"Gym ma personal training session 5 wota try gareko thyo — trainer experienced thyo, proper form correction garyo each exercise ma. Diet plan pani diye which was practical, not extreme. Progress tracking garyo each session. Communication clear thyo, no unnecessary upselling. Rs 1200 per session reasonable for quality received. Tara session time exact follow bhayena kti — started 10 minutes late twice which cuts into the hour. Minor but noticeable. Overall good trainer, would book again.",4,8/2/2024,code_mixed,0,0,services
Tailor worth it ... Service was a bit slow but okay.,5,11/21/2024,english,0,0,services
"Sahayatri ma peak time 😐😊😍 surcharge dherai bhayo yaar, normal taxi jatai dherai paryyo, farak kehi thiyena",3,8/21/2022,romanized_nepali,0,0,transportation
ConnectIPS double charged my account in one session. took four full days to get the refund,1,8/11/2022,english,0,0,services
Tyre mithooooo khana thyo hai Bholi pani janchu hola.,4,1/5/2022,romanized_nepali,1,1,transportation
Redmi Note was great tbh The color was nice. Shipping was fast. Service was a bit slow but okay. It was quite a busy day there. Maybe it will improve later. Price was high but fine. It was quite a busy day there.,5,2/14/2022,english,0,0,product
"Eye checkup clinic visit gareko thyo Putalisadak ma — no appointment needed for basic checkup which was convenient. Waited 15 minutes before being seen. Doctor thorough thyo, both eyes checked properly, explained prescription clearly. Lens selection had good range, imported frames available too. Made glasses in 2 days as promised. Fitting was accurate. Total cost Rs 3800 including lenses which was fair for the quality. Professional experience overall. Will use this clinic for next checkup too.",5,10/11/2023,code_mixed,0,0,services
Buff ramro experience vayo hai yaar Malai ta ekdam man paryo. Sathi haru lai pani vanchu. Bholi pani janchu hola.,4,12/8/2024,romanized_nepali,1,1,food
Housekeeping highly satisfied tbh Price was high. Recived it late. Recived it late. The color looks nice. Staf was bit slow. Recived it late. Staf was bit slow. Delivery was prompt. Delivery was prompt. Recived it late. Price was high. Recived it late. The color looks nice. Delivery was prompt.,5,2/10/2023,english,0,0,hotel_restaurant
Lift 502 best experience tho Maybe it will improve later. Service was a bit slow but okay. Actually I dont know. 🙌,5,10/7/2023,english,0,0,hotel_restaurant
Gaming chair muni thyo quality ni Dhilo aayo 🙃👎✨ tara mitho thyo. Dherai kura haru ramro thyo. Malai ta man paryo.,1,7/27/2025,romanized_nepali,1,2,product
"chowmein ma oil dheraiii thyo yaar, pet bigrayo mero",4,8/17/2024,romanized_nepali,0,0,food
"Lunch ma gako thyo ek Newar restaurant Kirtipur tiir. Bara, chatamari, and yomari order gareko thyo — tino wota pani fresh thyo. Yomari especially dami thyo, chaku filling perfect thyo sweet but not overwhelming. Chatamari egg topping crispy thyo. Bara texture authentic thyo, lentil ratio proper thyo. Rs 520 total, paisa vasool thyo. Small family place cha, 5 table matra xa. Parking nearby muskil cha. But for food quality, worth the trouble.",5,11/10/2022,romanized_nepali,1,1,food
Mutton curry here is good but spice level dherai thyo for me personally. would've been better if they let you customize heat,4,11/28/2022,code_mixed,0,0,food
"dental clinic ma cleaning gareko thyo, dentist professional thyo ra painless thyo procedure, relieved bhaye 😎 👍",4,8/7/2024,romanized_nepali,0,0,services
Cable 696 Note tasty enough tbh Battery life is good. Maybe it will improve later. Battery life is good. It was quite a busy day there. Service was a bit slow but okay. Battery life is good. Service was a bit slow but okay. The color was nice. Shipping was fast. Battery life is good. Price was high but fine. Price was high but fine. Actually I dont know. And the quality was also something I noticed. Service was a bit slow but okay. 🤩 ,4,6/13/2022,english,0,0,product
"dal bhat paisa vasool lagyo honestly. ghee ko smell ramrai thyo ani sabji ni fresh lageko thyo, portion ni tha thyo",5,9/30/2023,romanized_nepali,1,1,food
Mileage ekdam ramro lagyo ho Dhilo aayo tara mitho thyo. Kasto ramro thyo tyo thau. 🙃 😍😤,4,12/17/2022,romanized_nepali,1,2,transportation
"Bought hiking boots from a sports store at New Baneshwor. Staff helped find the right fit — tried 3 pairs before deciding. Ankle support on the selected pair is good, tested on a short hike to Shivapuri afterward. Waterproofing held up during light rain. Sole grip on wet rock is acceptable but not outstanding. After 4 hikes the lacing eyelets still intact, no fraying. Price was Rs 4500 which felt reasonable. Happy with the purchase overall.",4,8/28/2024,english,0,0,product
Cooker whistle works,4,3/19/2024,english,0,0,product
"CellPay ko customer support slow cha yaar, 3 din lagyo simple issue resolve garna. improve garnu parne cha",2,10/19/2022,romanized_nepali,0,0,services
Bed ramro experience vayo hai ni Malai ta ekdam man paryo. Malai ta ekdam man paryo. Hijo gako thyo rati. Bholi pani janchu hola. Pachi pheri try garchu. Sathi haru lai pani vanchu. Pachi pheri try garchu. Hijo gako thyo rati. Bholi pani janchu hola. Hijo gako thyo rati.,5,10/12/2023,romanized_nepali,1,1,hotel_restaurant
"Realme Narzo 60 use gareko 6 mahina bhayo. Display quality chai dheraiii ramro xa AMOLED ko — colors vibrant aaucha. Performance smooth xa, multitasking ma lag garena. Camera night mode thoda average but okay for the price. Battery fast charging support garcha which is the best part — 45 min ma full charge hunxa. Software updates garcha, security patches regular aaucha. Price range ma strong competition xa tara yo pani solid choice ho.",4,10/19/2024,romanized_nepali,1,1,product
Fan blade wobbles balance off,2,11/21/2024,english,0,0,product
Slow acceleration,2,7/8/2023,english,0,0,transportation
Aalu tama jhol dami,5,10/2/2023,romanized_nepali,1,1,food
darji gareko fitting perfect,5,1/24/2024,code_mixed,0,0,services
Mileage 162 loved it idk Service was a bit slow but okay. The color was nice. Actually I dont know. The color was nice. Price was high but fine. Service was a bit slow but okay.,5,5/24/2023,english,0,0,transportation
"Yamaha R15 V4 liye ko 8 mahina bhayo — sporty bike ho, not practical for daily commute tara weekend rides ko lagi dami. Highway performance excellent, smooth power delivery. Seat comfortable for solo rider tara pillion uncomfortable — small rear seat. Headlight LED sharp, great visibility at night. Mileage 38-42 km/l highway, city ma less hunxa due to traffic. Maintenance cost slightly higher than regular bikes. Service center trained staff xa for this model specifically. Looks lastai aggressive.",4,10/23/2024,romanized_nepali,1,1,transportation
Worldlink decent one ngl Actually I dont know. Price was high but fine. It was quite a busy day there.,3,7/5/2022,english,0,0,services
sekuwa taste ok tara price hisab ma ali mahango,3,3/4/2024,code_mixed,1,1,food
"Wedding photography package book gareko thyo — advance diyeko 6 months ago. Day of wedding all 3 photographers arrived punctual. Coverage from getting ready to reception, all captured. Candid shots specially babbal aako xa in the album — natural moments caught well. Video team synchronization with photo team was smooth. Delivered edited album in 45 days as promised, though we were hoping for 30. Minor timeline miss but quality compensates. The family is happy overall with the outcome.",4,2/24/2024,code_mixed,1,1,services
Sunset view jhyau cocktail mitho music ramro weekend ma jana best 🤩,5,10/12/2022,code_mixed,1,2,hotel_restaurant
"clinic ma doctor 1 ghanta late aayo, appointment time ko kehi value thiyena sadhai Workable for most needs.",4,7/18/2024,romanized_nepali,0,0,services
iPhone 13 879 headphones babbal quality raixa k Staff behavior was polite and ramro. Delivery was fast and safe thyo. Staff behavior was polite and ramro.,4,8/11/2025,code_mixed,1,2,product
Stylus was very good tbh The color looks nice. Price was high. Staf was bit slow. Price was high. The color looks nice. Recived it late. Price was high. The color looks nice. Recived it late.,4,3/13/2024,english,0,0,product
Wedding dinner was beautifully arranged. catering team did an excellent job and the guests were all happy. venue setup was elegant,5,12/28/2022,english,0,0,hotel_restaurant
Bed 914 babbal quality raixa ni Will visit again pheri. The product is babbal and works fine. Delivery was fast and safe thyo. The product is babbal and works fine. Overall experience was thikai. Price ali high thyo but worth it. Price ali high thyo but worth it. Battery backup is dami ngl. I liked the atmosphere there ramailo thyo. The food was tasty and mitho thyo. Delivery was fast and safe thyo. Battery backup is dami ngl.,4,10/6/2025,code_mixed,1,3,hotel_restaurant
Vianet 694 worth it tho Actually I dont know. Service was a bit slow but okay. The color was nice. Service was a bit slow but okay. Price was high but fine. Service was a bit slow but okay. Actually I dont know. Price was high but fine. It was quite a busy day there. Battery life is good. It was quite a busy day there. Maybe it will improve later.,4,3/20/2022,english,0,0,services
ola book easy cancel high driver fare transparent sos rate pay cashless support slow crash peak ok alternative,3,5/20/2024,code_mixed,0,0,transportation
"Daraz customer care le respond garyo tara helpful thiyena at all, canned responses diyera gaye matra Overall experience ramro thyo.",2,4/25/2023,romanized_nepali,0,0,services
Service paisa vasool deal ho ni Battery backup is dami ngl. Battery backup is dami ngl. Battery backup is dami ngl. Service kasto slow thyo but okay.,5,12/3/2023,code_mixed,1,2,hotel_restaurant
"Ordered the chicken thali, came cold and missing one dish. had to ask the staff twice for the rest",2,1/30/2024,english,0,0,food
philips trimmer blade sharp battery long lasting,5,10/18/2023,english,0,0,product
Parking sensor alert helpful,3,9/13/2023,english,0,0,transportation
Naan soft garlic mitho,5,10/14/2023,romanized_nepali,1,1,food
"Tried the special thali on my friend's suggestion. worth every rupee, everything was fresh and well-seasoned. will be coming back regularly 😢 😠",4,7/20/2024,english,0,0,food
"Xiaomi power bank never failed me, charged my phone three times full on one charge. solid value product 💔❤️",5,9/28/2023,english,0,0,product
Coffee kasto ramailo vayo yaar Pachi pheri try garchu. Malai ta man paryo. Sathi haru sanga gako thyo.,5,5/18/2025,romanized_nepali,1,1,food
"Chiya khaana Siddhi Cafe ma Patan ma — masala tea made fresh with whole spices visible in the pot, not teabag type. Cardamom dominant, ginger present, milk ratio perfect. Rs 80 for this quality is exceptional. Snack menu has sel roti and nimki which pair well. Seating traditional low wooden stools. Place frequented by locals, tourist faces are rare which means it's authentic. Owner herself makes the tea which shows personal care. This is the hidden Kathmandu worth discovering.",5,8/17/2022,english,0,0,food
"photo studio ma passport photo khicheko thyo, editing clean thyo, delivery fast thyo. babbal service honestly",5,5/22/2023,code_mixed,1,1,services
"Pathao driver tried negotiating higher fare than app showed, citing traffic. When refused, drove deliberately slowly. Reported through app, got automated 😴😐😡 reply only. If drivers can override pricing, the service point is lost.",1,4/19/2023,english,0,0,transportation
Mirror very disappointed with it k hai Battery backup is dami ngl. Service kasto slow thyo but okay. Delivery was fast and safe thyo. Battery backup is dami ngl. The food was tasty and mitho thyo.,2,4/30/2024,code_mixed,1,2,hotel_restaurant
Stylus pen pressure tilt drawing creative design digital,5,2/20/2024,english,0,0,product
Rain jacket waterproof ramro 😢🔥🤔,4,10/15/2023,code_mixed,1,1,transportation
Pocket Wallet dami thyo experience k The product is babbal and works fine. Delivery was fast and safe thyo. I liked the atmosphere there ramailo thyo.,5,11/4/2022,code_mixed,1,2,services
checkout fast bill clear,4,7/5/2024,code_mixed,0,0,hotel_restaurant
terrace dining ramro romantic,5,10/27/2023,code_mixed,1,1,hotel_restaurant
Delivery thyo tara wrong item aayo box bhitra. customer care ma call gareko tara lamo hold thyo ani finally got an agent who was unhelpful,5,4/12/2024,romanized_nepali,0,0,product
Motorcycle kasto naramro ho Khana pakauna time lagyo. Paisa dherai liyo tara thikai thyo. Pachi pheri try garchu. Tara pani thik thyo. Ani bholi pheri janchu. Ani bholi pheri janchu. Pachi pheri try garchu. Dherai kura haru ramro thyo. Pachi pheri try garchu. Dhilo aayo tara mitho thyo.,1,5/5/2023,romanized_nepali,1,2,transportation
Receptionist dami thyo experience ni Overall experience was thikai. Delivery was fast and safe thyo. Delivery was fast and safe thyo. The product is babbal and works fine.,4,1/23/2022,code_mixed,1,2,hotel_restaurant
"Good experience with Tootle, driver was polite and arrived on time for both trips I took This was my second purchase from this brand. The first one lasted well and this one seems headed the same way. Quality control seems consistent which is reassuring. Price is fair and the after-sales support is decent too.",4,1/31/2024,english,0,0,transportation
sunsilk smell ramro hair soft,4,9/17/2023,code_mixed,1,1,product
"yomari dekherai manchhe aakarsit huncha tara swad chai thik thyo matra, special kehi hoina. price pani thada cha quality ko compare ma",3,12/15/2022,romanized_nepali,0,0,food
Check-in really loved it tbh Recived it late. The color looks nice. Price was high. The color looks nice. ✨🙌,4,6/5/2025,english,0,0,hotel_restaurant
Pen scratches paper bad quality,2,3/24/2024,english,0,0,product
Had to move rooms twice because of issues with the first two. management handled it okay but it was a real hassle,3,8/14/2022,english,0,0,hotel_restaurant
Pest control monthly follow up check treat chemical biological environment friendly sustainable prevention ramro service quality professional effective,5,8/27/2024,code_mixed,1,1,services
internet connection install garna dherai time lagayo,3,1/31/2024,code_mixed,0,0,services
"breakfast mitho thyo, variety dami thyo. Nepali set ma aloo ko tarkari ra roti sanga served thyo, ekdum ramro suru bhayo din ko",5,6/11/2022,romanized_nepali,1,1,hotel_restaurant
Too noisy engine,2,7/22/2023,english,0,0,transportation
"Daraz ma Casio watch order gareko, original authorized seller bata. Arrived in 5 days, box sealed properly. Watch condition excellent — no scratches, band intact. Time accuracy set at factory. Clasp smooth. For Rs 2800 price this entry-level Casio is solid value. Face readable in low light due to backlight. Water resistant as claimed, tested in shower. Strap replaceable which extends life. Happy purchase, will order other accessories from this seller.",5,6/24/2024,code_mixed,0,0,product
Daraz delivered the wrong product and the return process took nearly two weeks. extremely frustrating,1,7/25/2023,english,0,0,product
Legal consultation lawyer experienced corporate litigation settlement dispute resolution professional advice ramro,4,4/26/2024,code_mixed,1,1,services
"Waited almost an hour for fried rice. no apology, no explanation from the staff. just bad service overall",4,10/28/2022,english,0,0,food
Dinner 697 never again ?? The staff were helpful. The staff were helpful. Actually I dont know. And the quality was also something I noticed.,1,3/5/2025,english,0,0,hotel_restaurant
Highway highly satisfied tbh The color looks nice. Delivery was prompt. Recived it late. Price was high. The color looks nice. The color looks nice. Recived it late. Staf was bit slow. Staf was bit slow. Recived it late. Recived it late. Price was high. Delivery was prompt. Staf was bit slow. Price was high. Recived it late. Delivery was prompt. Staf was bit slow. The color looks nice. Recived it late.,4,9/15/2024,english,0,0,transportation
"Physiotherapy sessions effective here, noticed clear improvement within the first week of treatment",5,7/30/2024,english,0,0,services
Staff not good at all k bro Overall experience was thikai. Service kasto slow thyo but okay. Overall experience was thikai.,2,11/14/2022,code_mixed,0,0,hotel_restaurant
mattress hard dherai back pain bhayo 💔✨😤,2,4/28/2024,code_mixed,0,0,hotel_restaurant
Namaste Pay cashback credited bhayena after qualifying purchase. raised issue but no reply came for a full week,2,8/16/2022,code_mixed,0,0,services
tutor effective grade improve bachha punctual dedicate subject clear homework monthly test progress detail fee reasonable institute flexible time parent communicate satisfied recommend,5,12/20/2023,code_mixed,0,0,services
