review_text,rating,date,language_style,has_slang,slang_count,domain
khana ramro thyo tara price ali mahango lagyo,4,6/14/2023,romanized_nepali,1,1,food
The service was decent but nothing really stood out for me.,3,1/22/2024,english,0,0,services
yo bike ko mileage thik cha tara pickup ali weak lagyo,3,9/18/2022,romanized_nepali,1,1,transportation
"Room was clean and staff were polite, but breakfast options were limited.",4,11/5/2023,english,0,0,hotel_restaurant
product quality ramro cha but packaging ali weak thyo,3,4/9/2024,code_mixed,1,1,product
"service lastai slow thyo, simple kaam pani dherai time lagyo",2,12/3/2022,romanized_nepali,1,1,services
Burger tasted good but arrived a bit cold.,3,8/21/2023,english,0,0,food
yo hotel ko location ramro cha tara room size sano lagyo,3,2/17/2024,romanized_nepali,1,1,hotel_restaurant
Delivery was on time and the product works fine so far.,4,1/11/2025,english,0,0,product
ride smooth thyo tara driver ali careless lagyo,3,5/28/2023,romanized_nepali,0,0,transportation
Food mitho thyo but service thik cha matra.,3,7/9/2022,code_mixed,1,2,food
Staff were helpful but the waiting time was longer than expected.,3,9/3/2024,english,0,0,services
yo scooter city ma chalaunda ramro cha,4,3/14/2023,romanized_nepali,1,1,transportation
"Hotel stay overall thik cha, cleanliness was okay.",3,10/27/2022,code_mixed,1,1,hotel_restaurant
Laptop performance is decent for daily tasks.,4,6/19/2024,english,0,0,product
service thik cha tara staff ali busy dekhinthyo,3,1/25/2023,romanized_nepali,1,1,services
"The pizza was average, not bad but not great either.",3,11/16/2022,english,0,0,food
bike ko build quality ramro cha,4,8/7/2024,romanized_nepali,1,1,transportation
"Room was quiet at night, which I really appreciated.",5,4/2/2023,english,0,0,hotel_restaurant
product thik cha tara expected jasto ramro chaina,3,5/30/2022,code_mixed,1,1,product
customer support lastai jhyau lagyo,2,3/18/2024,romanized_nepali,1,2,services
Momo was tasty but portion felt a bit small.,4,12/11/2023,english,0,0,food
cab time ma aayo ra ride comfortable thyo,5,2/6/2025,romanized_nepali,0,0,transportation
Hotel ko staff friendly thyo but check-in ali slow bhayo.,3,7/24/2024,code_mixed,0,0,hotel_restaurant
Phone heats up sometimes but battery life is fine.,3,8/19/2022,english,0,0,product
seva ramro thyo tara response ali dhilo thyo,4,9/10/2023,romanized_nepali,0,0,services
The food was fresh and arrived hot.,5,10/2/2024,english,0,0,food
scooter ko control ramro cha city ride ko lagi,4,6/13/2022,romanized_nepali,1,1,transportation
Stay was comfortable but parking space was limited.,4,2/18/2023,english,0,0,hotel_restaurant
earbuds sound quality thik cha price anusar,4,1/3/2025,code_mixed,1,1,product
momo ramro thiyo tara tel dherai lagyo,3,6/14/2023,romanized_nepali,1,2,food
room thikai cha tara bathroom ma smell aayo,3,2/9/2024,romanized_nepali,1,2,hotel_restaurant
bike chalayo ramro tara brake weak lagyo,3,11/18/2023,romanized_nepali,1,2,transportation
