review_text,review_date,rating,language_style,has_slang,slang_count
ramro packing meet as expected  ,21-Aug-25,5,english,0,0
"Nice n worthy, 2nd time",07 Oct 2025,5,english,0,0
dami xa 🎀,2-May-25,5,romanized_nepali,1,1
good for this prise section,09 Apr 2025,5,english,0,0
"Worth buying it. Uses magnetic pots. Easy to handle. Go green, Good 😊",10 May 2024,4,english,0,0
Iphone ma  charge hudain but android ma chahi hunchha.data cable le iphone ma support gardain. ,2-Feb-26,3,code_mixed,0,0
"Great Packing, Delivery on time Thanks ❤️",20 Sep 2025,5,english,0,0
ramro xa price worth it,01 Aug 2025,5,code_mixed,0,0
❣️❣️👍👍 ekdam ramro xa vaneko jastai Saman paye space ni thikai ho xa dherei thulo ni Haina man paryo Malai chai thanks to daraz,02 Sep 2022,5,code_mixed,0,0
Product is good but dead skin chai teti remove na garne raixa but yo price ma it's okay,4-Nov-25,5,code_mixed,0,0
Thank you! my son loved it. Dherai man paryo re,29-Apr-25,5,code_mixed,1,1
"Dami, ekdum nai ramro quality ko cha. Highly recommended.",27-Sep-25,5,code_mixed,1,1
fabric isn't that much as shown in the pictures and videos....but I like it,02 Feb 2026,5,english,0,0
Strauss kei ta ayena. Chinese brand ko ayo teipani thikai cha.,1-Nov-23,3,code_mixed,0,0
"Packaging good, quality products but I'm over 100 kg a little bit size problem. Other wise I'm happy",01 Jun 2025,5,english,0,0
Can't explain in single word. This oil is soo soo good. For the one who is worried about hairfall try this once you'll never regret buying this. This is my 3rd bottle .,04 Jul 2025,5,english,0,0
dammi,21-Aug-25,5,romanized_nepali,1,1
"akdam sano raex ,,",15 Aug 2025,5,romanized_nepali,1,1
Didn't match at my phone!!!!,18 Aug 2024,2,english,0,0
Fast delivery nice packing thank you daraz team.,21 Dec 2023,5,english,0,0
ekdam ramro xa,16-Sep-25,5,romanized_nepali,0,0
Scam !!! Photo shows JBL heandphones but they sent some no name brand different than photo !,05 Jun 2025,1,english,0,0
perfect chha yo,08 Nov 2025,5,code_mixed,0,0
"ramro x product tarw ajhai euta usb port thapdeko vaye babal huney , worth it x lida hunx ",25-Nov-24,3,romanized_nepali,1,1
okay with the price,7-Dec-20,4,english,0,0
"Soft, smooth, and easy to use. Blends makeup evenly and feels gentle on the skin. ",18-Jan-26,4,english,0,0
purchased for a friend. she liked it,29 Apr 2025,5,english,0,0
helmet cahii babal naii lagiyo hair 😊,2-Dec-25,5,romanized_nepali,1,1
Dami xaa,11 Nov 2024,5,romanized_nepali,1,1
keeps the skin hydrated very good👍,01 Mar 2025,5,english,0,0
Baccha ra thulo both ko lagi hunxa yo. Light lay garda use garna easy xa.,17-Jan-26,5,code_mixed,0,0
I have just started using it. Can’t tell much.,17 Jan 2026,3,english,0,0
delivered,29 Sep 2025,5,english,0,0
kam xaina,24-Jan-25,1,romanized_nepali,0,0
The Ultima Boost 20k Pro is amazing. It charges my phone incredibly fast and lasts for days! ,23-Dec-25,5,english,0,0
Ramro xa product,21 Jan 2026,5,code_mixed,0,0
