review_text,rating,date,language_style,has_slang,slang_count,domain,word_count,length_type,label,char_count,avg_word_len,exclamation_count,question_count,uppercase_ratio,unique_word_ratio
MoMo very disappointed with it k hai Battery backup is dami ngl. Battery backup is dami ngl.,2,1/7/2022,code_mixed,1.0,1.0,food,17,short,0,92,5.411764705882353,0,0,0.043478260869565216,0.7058823529411765
Dherai ghatiya service rahecha tyo thau ko aaja.,1,2026-02-18,romanized_nepali,1.0,1.0,services,8,very_short,1,48,6.0,0,0,0.020833333333333332,1.0
Bed ramro experience vayo hai ni Malai ta ekdam man paryo. Malai ta ekdam man paryo. Hijo gako thyo rati. Bholi pani janchu hola. Pachi pheri try garchu. Sathi haru lai pani vanchu. Pachi pheri try garchu. Hijo gako thyo rati. Bholi pani janchu hola. Hijo gako thyo rati.,5,10/12/2023,romanized_nepali,1.0,1.0,hotel_restaurant,49,medium,0,271,5.530612244897959,0,0,0.04059040590405904,0.5510204081632653
"hotl breakfast timng so short, most itms finishd, poor managment!!!",1,2024-06-19,english,0.0,0.0,hotel_restaurant,10,very_short,1,67,6.7,3,0,0.0,1.0
Katti roll momo vayo thikai cha Kasto ramro thyo tyo thau. Tara pani thik thyo. Pachi pheri try garchu. Dherai kura haru ramro thyo.,3,12/16/2022,romanized_nepali,1.0,1.0,food,24,short,0,132,5.5,0,0,0.03787878787878788,0.9166666666666666
"bus ma seat nai thiyena bro, driver pani lastai rude thiyo, never again",1,2022-12-19,code_mixed,1.0,1.0,transportation,13,short,0,71,5.461538461538462,0,0,0.0,1.0
"the taxi driver was so rudte bro. I said good morning and he just ignored. then on the way he was on phone the whole time like whole time bro. and then at the end he charged extra. I said meter ma cha, he said no extra charge. sala lastai baal driver thiyo. complained to company they said sorry will look into it. nothing happened. very very bad experience",1,2024-01-19,english,1.0,3.0,transportation,69,long,0,357,5.173913043478261,0,0,0.0056022408963585435,0.7246376811594203
"This service changed my life completely, best decision ever, highly recommended to everyone in the world!!!",5,2024-02-14,english,0.0,0.0,services,16,short,1,107,6.6875,3,0,0.009345794392523364,1.0
"Ani, burger babbal mitho",5,2024-01-14,code_mixed,1.0,1.0,food,4,very_short,1,24,6.0,0,0,0.041666666666666664,1.0
"The hotel room was spacious and had a great view of the city but the overall maintenance was very disappointing. 🏨 The bathroom sink was leaking and the air conditioning was making a loud rattling noise all night long which made it impossible to sleep. ✨ I complained to the front desk multiple times but nobody came to fix the issue until the next morning. ⭐ For a luxury hotel, the service quality is quite low and I don't think it is worth the money. ✨",2,2026-02-17,english,0.0,0.0,hotel_restaurant,86,long,1,455,5.290697674418604,0,0,0.01098901098901099,0.7441860465116279
