review_id,review_text,label,fake_type,language_style,domain,length_type,word_count,synthetic
SYN_00001,"Dherai kharaab service, I hate this salon, staff pani dherai rude cha.",fake,negative_attack,code_mixed,services,very_short,12,True
SYN_00002,"Bank ko customer care bhayaanak thiyo, I didn't like it at all, khub annoying.",fake,negative_attack,code_mixed,services,very_short,14,True
SYN_00003,"Repair shop ko price dherai high cha, I won't recommend, very bad experience.",fake,negative_attack,code_mixed,services,very_short,13,True
SYN_00004,"Hospital ko doctor haraamkhor thiye, I won't go back, khub dherai kharaab.",fake,negative_attack,code_mixed,services,very_short,12,True
SYN_00005,"Salon ko hair stylist bhayaanak skilled thiyo, I lost my hair, very bad job.",fake,negative_attack,code_mixed,services,very_short,14,True
SYN_00006,"Khana dherai kharab cha, I hate this restaurant, service pani terrible thiyo.",fake,negative_attack,code_mixed,food,very_short,12,True
SYN_00007,"Yeh dish ko price excessive cha, I won't recommend to anyone, taste pani average thiyo.",fake,negative_attack,code_mixed,food,very_short,15,True
SYN_00008,"Thukka restaurant, food quality sabse worse cha, I'm very disappointed, khane me koi swad nahi thiyo.",fake,negative_attack,code_mixed,food,short,16,True
SYN_00009,"Menu me variation nahi cha, food ko quality pani kharab thiyo, I won't go back.",fake,negative_attack,code_mixed,food,very_short,15,True
SYN_00010,"Staff ko behavior dherai rude thiyo, food pani overpriced cha, total waste of money thiyo.",fake,negative_attack,code_mixed,food,very_short,15,True
SYN_00011,"Service dherai ramro thiyo, excellent experience, I highly recommend it, staff pani friendly cha.",fake,generic_bot,code_mixed,services,very_short,14,True
SYN_00012,"Amazing salon, hair cut dherai sundar thiyo, I love it, price reasonable cha, must visit.",fake,generic_bot,code_mixed,services,very_short,15,True
SYN_00013,"Hospital ko service top notch cha, doctors pani very helpful, I appreciate it, overall great.",fake,generic_bot,code_mixed,services,very_short,15,True
SYN_00014,"Bank ko customer service ramro thiyo, staff pani cooperative cha, I'm very satisfied, will use again.",fake,generic_bot,code_mixed,services,short,16,True
SYN_00015,"Repair shop ko work dherai acchi thiyo, timely delivery, I'm happy, price pani fair cha.",fake,generic_bot,code_mixed,services,very_short,15,True
SYN_00016,"Hotel ko service dherai ramro thiyo, I really loved it, staff pani friendly cha.",fake,generic_bot,code_mixed,hotel_restaurant,very_short,14,True
SYN_00017,"Ambiance amazing thiyo, food pani delicious, I highly recommend it, dherai satisfied.",fake,generic_bot,code_mixed,hotel_restaurant,very_short,12,True
SYN_00018,"Room ko cleanliness top notch thiyo, I felt very comfortable, service pani great cha.",fake,generic_bot,code_mixed,hotel_restaurant,very_short,14,True
SYN_00019,"Staff ko behavior dherai polite thiyo, food quality pani excellent, I'll definitely return.",fake,generic_bot,code_mixed,hotel_restaurant,very_short,13,True
SYN_00020,"Overall experience dherai enjoyable thiyo, hotel ko atmosphere pani lovely, I loved it.",fake,generic_bot,code_mixed,hotel_restaurant,very_short,13,True
SYN_00021,"Product dherai achha cha, I'm totally satisfied, price pani reasonable ho!",fake,positive_spam,code_mixed,product,very_short,11,True
SYN_00022,"Ramro product, I loved it, must try guys, dherai value for money!",fake,positive_spam,code_mixed,product,very_short,12,True
SYN_00023,"Service dherai fast thiyo, I'm so happy, product quality pani excellent!",fake,positive_spam,code_mixed,product,very_short,11,True
SYN_00024,"I'm fully satisfied, product majja leyo, dherai affordable pani cha!",fake,positive_spam,code_mixed,product,very_short,10,True
SYN_00025,"Amazing product, I highly recommend, dherai useful features cha, loved it!",fake,positive_spam,code_mixed,product,very_short,11,True
SYN_00026,"Salon ko service ramro cha, I think it's okay, staff pani friendly thiyo.",fake,neutral_bot,code_mixed,services,very_short,13,True
SYN_00027,"Bank ko transaction process dherai fast cha, but I don't know about others.",fake,neutral_bot,code_mixed,services,very_short,13,True
SYN_00028,"Hospital ko doctor haru experienced hunchhan, service pani satisfactory cha.",fake,neutral_bot,code_mixed,services,very_short,10,True
SYN_00029,"Repair shop ko price fair cha, I've heard it's reliable, but no personal experience.",fake,neutral_bot,code_mixed,services,very_short,14,True
SYN_00030,"Service center ko staff cooperative thiyo, but I'm not sure about quality cha.",fake,neutral_bot,code_mixed,services,very_short,13,True
SYN_00031,"Yah bus service dherai ramro thiyo, I loved it, staff pani very helpful cha!",fake,positive_spam,code_mixed,transportation,very_short,14,True
SYN_00032,"Microbus ko ride majja thiyo, comfortable seats, perfect for long route travel!",fake,positive_spam,code_mixed,transportation,very_short,12,True
SYN_00033,"Taxi walas very polite cha, driving style safe thiyo, I'll use it again!",fake,positive_spam,code_mixed,transportation,very_short,13,True
SYN_00034,"Airline ka service top class thiyo, food pani tasty, I'm fully satisfied!",fake,positive_spam,code_mixed,transportation,very_short,12,True
SYN_00035,"Cab ko fare reasonable thiyo, driver pani cooporative cha, great experience!",fake,positive_spam,code_mixed,transportation,very_short,11,True
SYN_00036,"Product kharaab cha, I wasted my money, dherai annoying experience thiyo.",fake,negative_attack,code_mixed,product,very_short,11,True
SYN_00037,"Ramro brand hoina, always cheating customers, price pani high cha.",fake,negative_attack,code_mixed,product,very_short,10,True
SYN_00038,"Customer care dherai worst thiyo, didn't help me, I'm very disappointed.",fake,negative_attack,code_mixed,product,very_short,11,True
SYN_00039,"Product quality kharaab thiyo, didn't last long, I feel cheated, paisa waste.",fake,negative_attack,code_mixed,product,very_short,12,True
SYN_00040,"Delivery time dherai late thiyo, product pani damaged, I'm so frustrated.",fake,negative_attack,code_mixed,product,very_short,11,True
SYN_00041,"Product dherai best cha, I loved it, really amazing experience, fully satisfied!",fake,generic_bot,code_mixed,product,very_short,12,True
SYN_00042,"Ramro product hai, excellent quality, I'm so happy, totally worth it, price pani ok cha.",fake,generic_bot,code_mixed,product,very_short,15,True
SYN_00043,"Majja ayo, fantastic product, very good, I highly recommend, dherai liked it!",fake,generic_bot,code_mixed,product,very_short,12,True
SYN_00044,"Fully satisfied with product, awesome cha, great service, I love it, will buy again.",fake,generic_bot,code_mixed,product,very_short,14,True
SYN_00045,"Dherai impressed with product, excellent service, very happy, totally worth buying, best cha!",fake,generic_bot,code_mixed,product,very_short,13,True
SYN_00046,"Product dherai ramro cha, I love it, excellent quality thiyo, totally satisfied!",fake,generic_bot,code_mixed,product,very_short,12,True
SYN_00047,"Khup satisfied hu, online purchase garnu easy thiyo, great experience pani!",fake,generic_bot,code_mixed,product,very_short,11,True
SYN_00048,"Ramro product cha, price fair, I highly recommend it, dherai likes!",fake,generic_bot,code_mixed,product,very_short,11,True
SYN_00049,"Dherai impressed hu, product quality top notch thiyo, love it so much!",fake,generic_bot,code_mixed,product,very_short,12,True
SYN_00050,"Excellent service thiyo, product khup ramro cha, I'm totally happy now!",fake,generic_bot,code_mixed,product,very_short,11,True
SYN_00051,"Dherai ramro service thiyo, I loved it, best taxi experience ever, highly recommended!",fake,positive_spam,code_mixed,transportation,very_short,13,True
SYN_00052,"Safar dherai enjoyable thiyo, comfortable seats, awesome driver, will use again for sure!",fake,positive_spam,code_mixed,transportation,very_short,13,True
SYN_00053,"Bus ko service superb cha, on time arrival, I'm so impressed, great job guys!",fake,positive_spam,code_mixed,transportation,very_short,14,True
SYN_00054,"Microbus ko fare pani reasonable cha, dherai satisfied customer hu, excellent service!",fake,positive_spam,code_mixed,transportation,very_short,12,True
SYN_00055,"Yeh airline ko service amazing thiyo, dherai helpful staff, I'll definitely fly again!",fake,positive_spam,code_mixed,transportation,very_short,13,True
SYN_00056,"Service dherai ramro thiyo, I'm totally satisfied, price pani reasonable cha!",fake,positive_spam,code_mixed,services,very_short,11,True
SYN_00057,"Amazing experience at this hospital, doctors bahut helpful thiye, I highly recommend!",fake,positive_spam,code_mixed,services,very_short,12,True
SYN_00058,"Salon ko service mind blowing thiyo, I loved my new haircut, staff pani friendly cha!",fake,positive_spam,code_mixed,services,very_short,15,True
SYN_00059,"Bank ko customer service dherai helpful cha, I got my loan approved easily, thanks!",fake,positive_spam,code_mixed,services,very_short,14,True
SYN_00060,"Repair shop ko work quality top notch thiyo, I'm impressed, prices pani fair cha!",fake,positive_spam,code_mixed,services,very_short,14,True
SYN_00061,"Product dherai ramro cha, I'm totally satisfied, price pani affordable hai, must buy!",fake,positive_spam,code_mixed,product,very_short,13,True
SYN_00062,"I loved it, service thik thiyo, very fast delivery, amazing product quality!",fake,positive_spam,code_mixed,product,very_short,12,True
SYN_00063,"Yah product lekh ramro cha, I'm so happy, dherai cheap pani, highly recommended!",fake,positive_spam,code_mixed,product,very_short,13,True
SYN_00064,"Quality dherai acchi cha, I'm impressed, price fair hai, you should buy it now!",fake,positive_spam,code_mixed,product,very_short,14,True
SYN_00065,"Dherai satisfied cha, product thik thiyo, very good customer service, I love it!",fake,positive_spam,code_mixed,product,very_short,13,True
SYN_00066,"Dherai swadisht burger khaya, I totally loved it, price pani reasonable cha!",fake,positive_spam,code_mixed,food,very_short,12,True
SYN_00067,"Yeh momos dherai tasty thiyo, must try at Thamel Food Corner, amazing deal!",fake,positive_spam,code_mixed,food,very_short,13,True
SYN_00068,"Ramro cha yeh thukpa, I highly recommend, dherai cheap pani!",fake,positive_spam,code_mixed,food,very_short,10,True
SYN_00069,"Best cha yeh pizza, dherai delicious toppings, I'm in love, must order!",fake,positive_spam,code_mixed,food,very_short,12,True
SYN_00070,"Momo king ko momos dherai famous ho, I tried and loved it, super yummy!",fake,positive_spam,code_mixed,food,very_short,14,True
SYN_00071,"Hotel ko ambiance dherai clean thiyo, I think it's good for stay.",fake,neutral_bot,code_mixed,hotel_restaurant,very_short,12,True
SYN_00072,"Service pani decent cha, food quality okay, I guess it's fine.",fake,neutral_bot,code_mixed,hotel_restaurant,very_short,11,True
SYN_00073,"Room ko size thik thiyo, amenities pani available, pretty standard.",fake,neutral_bot,code_mixed,hotel_restaurant,very_short,10,True
SYN_00074,"Staff ko behavior friendly thiyo, hotel ko location pani convenient cha.",fake,neutral_bot,code_mixed,hotel_restaurant,very_short,11,True
SYN_00075,"Price pani reasonable thiyo, overall experience average cha, okay ma.",fake,neutral_bot,code_mixed,hotel_restaurant,very_short,10,True
SYN_00076,"Yo hotel ma stay garne experience ramro thiyo, I loved it, staff pani friendly cha!",fake,positive_spam,code_mixed,hotel_restaurant,very_short,15,True
SYN_00077,"Khana dherai tasty thiyo, service superb, I highly recommend this restaurant!",fake,positive_spam,code_mixed,hotel_restaurant,very_short,11,True
SYN_00078,"Ambient dherai beautiful cha, food pani awesome thiyo, I'll visit again soon!",fake,positive_spam,code_mixed,hotel_restaurant,very_short,12,True
SYN_00079,"Room ma AC pani thiyo, I felt so relaxed, hotel staff ko service mind-blowing cha!",fake,positive_spam,code_mixed,hotel_restaurant,very_short,15,True
SYN_00080,"Thakali khana khaune maaj jaan cha, price pani reasonable thiyo, great hotel experience!",fake,positive_spam,code_mixed,hotel_restaurant,very_short,13,True
SYN_00081,"Product dherai nice cha, I loved it, amazing service pani thiyo, highly recommended!",fake,generic_bot,code_mixed,product,very_short,13,True
SYN_00082,"Ramro product, I'm fully satisfied, price kafi reasonable cha, will buy again!",fake,generic_bot,code_mixed,product,very_short,12,True
SYN_00083,"Dherai achha product, excellent quality, I really like it, thump up!",fake,generic_bot,code_mixed,product,very_short,11,True
SYN_00084,"Service fantastic thiyo, product pani dherai good cha, will definitely purchase again!",fake,generic_bot,code_mixed,product,very_short,12,True
SYN_00085,"Fantastic purchase, I'm so happy, product kafi ramro cha, loved the buying experience!",fake,generic_bot,code_mixed,product,very_short,13,True
SYN_00086,"Service dherai ramro thiyo, I loved it, very satisfied, excellent work cha.",fake,generic_bot,code_mixed,services,very_short,12,True
SYN_00087,"I'm very happy, khub pashand aayo, great experience, amazing staff cha.",fake,generic_bot,code_mixed,services,very_short,11,True
SYN_00088,"Everything was great, sab thik thiyo, excellent service, I recommend it.",fake,generic_bot,code_mixed,services,very_short,11,True
SYN_00089,"Dherai ramro service, I'm so impressed, very good, fantastic experience cha.",fake,generic_bot,code_mixed,services,very_short,11,True
