review_text,rating,date,language_style,has_slang,slang_count,domain
Food dami thyo tara thali ko price ali dherai lagyo malai.,4,11/15/2023,romanized_nepali,1,1,food
The delivery was late by 30 minutes. Product is okay but not happy with the shipping.,2,1/22/2024,english,0,0,product
Pathao rider was very polite. Safe driving and reached on time.,5,8/5/2022,english,0,0,transportation
Lastai jhyau service. Appointment lida pani wait garnu parne.,1,5/19/2023,romanized_nepali,1,2,services
Room clean thyo and staff helpful thie. Good experience overall.,4,1/10/2025,code_mixed,0,0,hotel_restaurant
Mitho thyo momo. Sauce ali dherai piro bhaye jhan babbal hunthyo.,4,7/28/2024,romanized_nepali,1,2,food
The laptop bag quality is poor. Zipper broke within two weeks.,2,2/14/2023,english,0,0,product
Bike ko servicing ramro cha tara extra parts ko bill dherai auncha.,3,9/30/2024,code_mixed,1,1,transportation
Internet provider is very bad. Always goes down during rain.,1,12/1/2022,english,0,0,services
Stay was comfortable but breakfast menu limited thyo. Paisa vasool chai ho.,4,4/12/2023,code_mixed,1,1,hotel_restaurant
Khana thik thiyo tara service slow lagyo.,3,11/20/2024,romanized_nepali,1,1,food
The shoes are genuine. Comfortable for daily walking.,5,1/5/2025,english,0,0,product
Taxi driver le meter ma jana mane na. Lastai garo cha.,2,8/22/2023,code_mixed,1,1,transportation
Parlor service ramro thyo. Staff haru polite thie.,5,6/15/2024,code_mixed,1,1,services
View dami cha hotel bata. Room chai ali sano thyo.,4,10/18/2022,code_mixed,1,1,hotel_restaurant
Chicken roast lastai kado thyo. Khana sakiye na.,1,3/9/2023,romanized_nepali,1,1,food
Ordered a mobile cover. Design is great but fit isn't perfect.,3,5/27/2024,english,0,0,product
Bike ride share is very convenient for Kathmandu traffic.,5,11/12/2022,english,0,0,transportation
Bank ko staff haru dherai slow cha. Euta kam lai hours lagcha.,2,7/4/2023,code_mixed,0,0,services
Dinner babbal thyo. Ambience pani kasto ramailo.,5,12/25/2024,romanized_nepali,1,2,hotel_restaurant
Tea was cold. Disappointed with the service this time.,2,9/14/2023,english,0,0,food
Tshirt ko fabric thik cha tara size ali thulo vayo.,3,2/11/2024,code_mixed,1,1,product
InDrive ko price thik huncha. Driver pani ramro thyo.,5,1/20/2023,code_mixed,1,1,transportation
